full_date,weekday,mood,activities,note
2020-08-31,Montag,Gut,Mäßig | Arbeit,""
2020-09-01,Dienstag,Ok,Variable08 | Mäßig | Einkaufen | Longboard,""
2020-09-02,Mittwoch,Gut,Gut | Variable06 | Arbeit | Wäsche | Einkaufen | Schlafqualitaet,""
2020-09-03,Donnerstag,Schlecht,Gut | Variable07 | Variable13 | Arbeit | Schlafqualitaet,""
2020-09-04,Freitag,Gut,Variable03 | Variable07 | Mäßig | Arbeit,""
2020-09-05,Samstag,Ok,Variable03 | Variable06 | Variable07 | Variable13 | Mäßig | Einkaufen,""
2020-09-06,Sonntag,Ok,Familie | Variable03 | Variable07 | Variable11 | Variable13 | Mäßig | Wäsche | Rasiert,""
2020-09-07,Montag,Gut,Variable13 | Variable15 | Variable16 | Mäßig | Arbeit | Mensa,""
2020-09-08,Dienstag,Ok,Variable03 | Gut | Variable07 | Variable09 | Variable11 | Variable13 | Variable16 | Wäsche | Einkaufen | Schlafqualitaet,""
2020-09-09,Mittwoch,Schlecht,Familie | Variable03 | Variable06 | Variable08 | Variable13 | Mäßig | Arbeit | Einkaufen,""
2020-09-10,Donnerstag,Gut,Mäßig | Arbeit | Mensa,""
2020-09-11,Freitag,Schlecht,Variable03 | Variable07 | Variable13 | Arbeit | Wäsche | Schlecht,""
2020-09-12,Samstag,Lausig,Variable06 | Variable08 | Variable10 | Variable15 | Variable17 | Variable18 | Mäßig | Arbeit | Einkaufen | Rasiert,""
2020-09-13,Sonntag,Schlecht,Variable06 | Variable08 | Variable15 | Variable17 | Mäßig | Arbeit,""
2020-09-14,Montag,Ok,Variable03 | Gut | Variable06 | Arbeit | Mensa | Schlafqualitaet,""
2020-09-15,Dienstag,Ok,Gut | Variable11 | Variable13 | Variable15 | Schlafqualitaet,""
2020-09-16,Mittwoch,Super,Gut | Variable06 | Variable10 | Variable13 | Variable15 | Variable18 | Mensa | Einkaufen | Schlafqualitaet,""
2020-09-17,Donnerstag,Gut,Variable03 | Variable07 | Variable10 | Variable14 | Variable15 | Variable17 | Mäßig | Arbeit | Mensa,""
2020-09-18,Freitag,Ok,Gut | Variable07 | Variable10 | Variable13 | Wäsche | Schlafqualitaet,""
2020-09-19,Samstag,Super,Variable04 | Variable06 | Variable08 | Variable13 | Variable15 | Variable17 | Variable18 | Mäßig | Einkaufen,""
2020-09-20,Sonntag,Ok,Variable03 | Variable07 | Variable09 | Variable13 | Variable18 | Mäßig,""
2020-09-21,Montag,Lausig,Gut | Variable06 | Variable08 | Variable13 | Klausur | Schlafqualitaet,""
2020-09-22,Dienstag,Lausig,Familie | Variable03 | Variable04 | Gut | Variable07 | Variable10 | Variable11 | Schlafqualitaet,""
2020-09-23,Mittwoch,Ok,Familie | Variable10 | Arbeit | Mensa | Schlecht | Einkaufen,""
2020-09-24,Donnerstag,Super,Familie | Variable03 | Variable04 | Variable06 | Variable07 | Arbeit | Schlecht | Einkaufen | Longboard,""
2020-09-25,Freitag,Schlecht,Familie | Variable03 | Gut | Variable06 | Variable10 | Wäsche | Einkaufen | Rasiert | Schlafqualitaet,""
2020-09-26,Samstag,Lausig,Familie | Variable03 | Variable04 | Variable06 | Variable07 | Variable10 | Schlecht | Einkaufen,""
2020-09-27,Sonntag,Schlecht,Familie | Variable03 | Variable04 | Variable07 | Variable10 | Variable15 | Mäßig,""
2020-09-28,Montag,Ok,Variable06 | Variable07 | Variable18 | Mäßig | Arbeit,""
2020-09-29,Dienstag,Gut,Variable04 | Variable07 | Variable10 | Variable11 | Variable14 | Mäßig | Wäsche,""
2020-09-30,Mittwoch,Super,Variable07 | Variable09 | Variable10 | Variable13 | Variable17 | Mäßig | Einkaufen,""
2020-10-01,Donnerstag,Gut,Variable07 | Variable10 | Variable14 | Mäßig | Arbeit | Einkaufen | Longboard,""
2020-10-02,Freitag,Schlecht,Familie | Variable03 | Gut | Variable07 | Variable17 | Wäsche | Einkaufen | Schlafqualitaet,""
2020-10-03,Samstag,Ok,Variable07 | Variable09 | Variable11 | Variable13 | Mäßig | Wäsche,""
2020-10-04,Sonntag,Gut,Gut | Variable07 | Variable09 | Variable10 | Variable11 | Variable13 | Schlafqualitaet,""
